PUZZLE,CATEGORY,DATE USED,WHEN USED
SUPERHUMAN STRENGTH & SPEED,Same Letter,2/5/2014 (#5953),R2
MARVELOUS VACATION PACKAGE,Thing,2/5/2014 (#5953),R3*
JENNIFER LAWRENCE,Proper Name,2/5/2014 (#5953),T3
WHEN A MAN LOVES A WOMAN,Song Title,2/5/2014 (#5953),R4
A RISK WORTH TAKING,Phrase,2/5/2014 (#5953),BR
PLUSH BATHROBES,Things,2/6/2014 (#5954),T1
BREAD PUDDING,Food & Drink,2/6/2014 (#5954),T2
YOU LOOK WONDERFUL TONIGHT,Song Lyrics,2/6/2014 (#5954),R1
WORDS OF WISDOM TEETH,Before & After,2/6/2014 (#5954),R2
FOOD FUN & FESTIVITIES,Same Letter,2/6/2014 (#5954),R3*
THE NANNY,The 90's,2/6/2014 (#5954),T3
THE CAVALRY TO THE RESCUE,Phrase,2/6/2014 (#5954),R4
WHAT A HOOT,Phrase,2/6/2014 (#5954),BR
GO WITH THE FLOW,Rhyme Time,2/7/2014 (#5955),T1
TURN ON A DIME,Phrase,2/7/2014 (#5955),T2
DIGITAL EDITION OF A MAGAZINE,Thing,2/7/2014 (#5955),R1
LOVE AND INTERNET CONNECTION,Same Name,2/7/2014 (#5955),R2
CANDLELIGHT DINNER FOR TWO,Event,2/7/2014 (#5955),R3*
EQUIPMENT MANAGER,Occupation,2/7/2014 (#5955),T3
FRENCH VANILLA YOGURT,Food & Drink,2/7/2014 (#5955),R4
LOGICAL OUTCOME,Thing,2/7/2014 (#5955),BR
KISS AND TELL,Phrase,2/10/2014 (#5956),T1
TWO GLASSES OF WINE,Food & Drink,2/10/2014 (#5956),T2
SUPER BOWL OF FRUIT,Before & After,2/10/2014 (#5956),R1
SHE LOVES YOU YEAH YEAH YEAH,Song Lyrics,2/10/2014 (#5956),R2
FLOCK OF COLORFUL TOUCANS,Living Things,2/10/2014 (#5956),R3*
BOGART AND BACALL,Proper Names,2/10/2014 (#5956),T3
BRINGING DOWN THE HOUSE,What Are You Doing?,2/10/2014 (#5956),R4
A SHINY NEW BIKE,Thing,2/10/2014 (#5956),R5
AUSTIN TEXAS,On the Map,2/10/2014 (#5956),R6
BACKUP PLAN,Thing,2/10/2014 (#5956),BR
BEST FRIENDS FOREVER,People,2/11/2014 (#5957),T1
ENGAGEMENT RING,Thing,2/11/2014 (#5957),T2
DOUBLE DATE WITH DESTINY,Before & After,2/11/2014 (#5957),R1
CREAMY VANILLA ICE CREAM CAKE,Food & Drink,2/11/2014 (#5957),R2
A FIRST TIME FOR EVERYTHING,Phrase,2/11/2014 (#5957),R3*
BREAKFAST IN BED,Event,2/11/2014 (#5957),T3
TAKE A CHANCE ON ME,Song Title,2/11/2014 (#5957),R4
FAMILY VALUES,Things,2/11/2014 (#5957),BR
HOPELESS ROMANTIC,Person,2/12/2014 (#5958),T1
HEART-SHAPED PENDANT,Thing,2/12/2014 (#5958),T2
WHISPERING SWEET NOTHINGS,What Are You Doing?,2/12/2014 (#5958),R1
BEING CARRIED OVER THE THRESHOLD,Event,2/12/2014 (#5958),R2
YOU'VE GOT TO BE KIDDING ME,Phrase,2/12/2014 (#5958),R3*
BOX OF CANDIES,Food & Drink,2/12/2014 (#5958),T3
MONARCH BUTTERFLIES,Living Things,2/12/2014 (#5958),R4
ITCHY PALM,Thing,2/12/2014 (#5958),BR
BOUQUET OF ROSES,Living Things,2/13/2014 (#5959),T1
SHARING IS CARING,Rhyme Time,2/13/2014 (#5959),T2
THE GRAND CANAL IN VENICE,On the Map,2/13/2014 (#5959),R1
INFERIORITY & APARTMENT COMPLEX,Same Name,2/13/2014 (#5959),R2
SHOWING OFF MY VICTORY DANCE,What Are You Doing?,2/13/2014 (#5959),R3*
BOYFRIEND & GIRLFRIEND,People,2/13/2014 (#5959),T3
A NEW LEASE ON LIFE,Phrase,2/13/2014 (#5959),R4
MAJOR HUB,Place,2/13/2014 (#5959),BR
FEBRUARY FOURTEENTH,Thing,2/14/2014 (#5960),T1
NUTS AND CHOCOLATE,Food & Drink,2/14/2014 (#5960),T2
I WANT TO KNOW WHAT LOVE IS,Song Lyrics,2/14/2014 (#5960),R1
A MATCH MADE IN HEAVEN HELP US,Before & After,2/14/2014 (#5960),R2
THE MOMENT YOU'VE BEEN WAITING FOR,Phrase,2/14/2014 (#5960),R3*
A HUGE MILESTONE,Event,2/14/2014 (#5960),T3
EXPRESSING MY FEELINGS,What Are You Doing?,2/14/2014 (#5960),R4
CANARY ISLANDS,On the Map,2/14/2014 (#5960),R5
AN ABBEY,Place,2/14/2014 (#5960),BR
PROFESSIONAL BUTLER,Occupation,2/17/2014 (#5961),T1
WRITTEN TEST,Thing,2/17/2014 (#5961),T2
PERFUME AND COLOGNE,Around the House,2/17/2014 (#5961),R1
CAVIAR CAPERS AND CRACKERS,Food & Drink,2/17/2014 (#5961),R2
ENJOYING A MORNING MIMOSA,What Are You Doing?,2/17/2014 (#5961),R3*
TRUTH OR DARE,Fun & Games,2/17/2014 (#5961),T3
STRAIGHT TO THE TOP,Phrase,2/17/2014 (#5961),R4
WAFFLING,What Are You Doing?,2/17/2014 (#5961),BR
WORLD FAMOUS CHEFS,People,2/18/2014 (#5962),T1
CHANCE ENCOUNTER,Event,2/18/2014 (#5962),T2
ELEPHANT AND SWIMMING TRUNKS,Same Name,2/18/2014 (#5962),R1
EXQUISITE DESIGNER CAKES,Food & Drink,2/18/2014 (#5962),R2
TYING UP A FEW LOOSE ENDS,What Are You Doing?,2/18/2014 (#5962),R3*
ARABIAN HORSES,Living Things,2/18/2014 (#5962),T3
SILK HANDKERCHIEF,Thing,2/18/2014 (#5962),R4
CHOREOGRAPHY,Thing,2/18/2014 (#5962),BR
ALASKAN KING CRAB,Food & Drink,2/19/2014 (#5963),T1
BLACK TIE AND TAILS,Things,2/19/2014 (#5963),T2
WORLDWIDE BOX OFFICE SMASH,Show Biz,2/19/2014 (#5963),R1
BEACH HOUSE OF CARDS,Before & After,2/19/2014 (#5963),R2
THIS STUFF NEVER HAPPENS TO ME,Phrase,2/19/2014 (#5963),R3*
SILENT PARTNER,Person,2/19/2014 (#5963),T3
GOING FOR BROKE,What Are You Doing?,2/19/2014 (#5963),R4
BALTIMORE MARYLAND,On the Map,2/19/2014 (#5963),R5
LOCKER KEY,Thing,2/19/2014 (#5963),BR
FRONT ROW CENTER,Place,2/20/2014 (#5964),T1
HOLY MOLY!,Rhyme Time,2/20/2014 (#5964),T2
MAJOR SCIENTIFIC BREAKTHROUGH,Event,2/20/2014 (#5964),R1
PEKING DUCK DUCK GOOSE,Before & After,2/20/2014 (#5964),R2
BEAUTIFUL FRESH FLOWER LEIS,Things,2/20/2014 (#5964),R3*
THE ROYAL FAMILY,People,2/20/2014 (#5964),T3
MARKETING SPECIALIST,Occupation,2/20/2014 (#5964),R4
GOBBLED UP,Phrase,2/20/2014 (#5964),BR
CHAMPAGNE BRUNCH,Event,2/21/2014 (#5965),T1
CAPTAIN KIRK,Character,2/21/2014 (#5965),T2
PERFECT OPPORTUNITY,Thing,2/21/2014 (#5965),R1
PRICE TAG YOU'RE IT,Before & After,2/21/2014 (#5965),R2
AN EMBARRASSMENT OF RICHES,Phrase,2/21/2014 (#5965),R3*
MURAL PAINTER,Person,2/21/2014 (#5965),T3
UPSCALE NEIGHBORHOOD,Place,2/21/2014 (#5965),R4
JUNCTION,Thing,2/21/2014 (#5965),BR
MINERAL SPRINGS,Things,2/24/2014 (#5966),T1
I'M IN THE ZONE,Phrase,2/24/2014 (#5966),T2
WE WILL WE WILL ROCK YOU,Song Lyrics,2/24/2014 (#5966),R1
MONKEY BUSINESS CONFERENCE,Before & After,2/24/2014 (#5966),R2
SOOTHING SERENE SETTING,Same Letter,2/24/2014 (#5966),R3*
BUTTERSCOTCH COOKIES,Food & Drink,2/24/2014 (#5966),T3
MOVERS AND SHAKERS,People,2/24/2014 (#5966),R4
PLANTING FLOWERS,What Are You Doing?,2/24/2014 (#5966),R5
BODY OF WORK,Thing,2/24/2014 (#5966),BR
HAPPY AND HEALTHY,Phrase,2/25/2014 (#5967),T1
VEGETABLE JUICE,Food & Drink,2/25/2014 (#5967),T2
THE SECRET LIFE OF WALTER MITTY,Title,2/25/2014 (#5967),R1
POPSICLE STICK SHIFT,Before & After,2/25/2014 (#5967),R2
HOUSE KEY,Thing,2/25/2014 (#5967),PP
BALCONY OVERLOOKING THE BEACH,Place,2/25/2014 (#5967),R3*
THE EYE OF THE TIGER,The 80's,2/25/2014 (#5967),T3
THOUGHTFULNESS,Thing,2/25/2014 (#5967),R4
I'VE GOT HIGH HOPES,Phrase,2/25/2014 (#5967),BR
HOT STONE MASSAGE,Event,2/26/2014 (#5968),T1
MOVIE STUNTMAN,Show Biz,2/26/2014 (#5968),T2
WRINKLE CREAM OF WHEAT,Before & After,2/26/2014 (#5968),R1
STRESS-RELIEVING WHIRLPOOL,Thing,2/26/2014 (#5968),R2
THIS IS THE BEST GAME EVER!,Phrase,2/26/2014 (#5968),R3*
BATH TOWELS,Around the House,2/26/2014 (#5968),T3
WATER AEROBICS,Fun & Games,2/26/2014 (#5968),R4
NORTH CAROLINA,On the Map,2/26/2014 (#5968),R5
VISUAL EFFECTS,Things,2/26/2014 (#5968),BR
SITTING IN THE SAUNA,What Are You Doing?,2/27/2014 (#5969),T1
EXPENSE REPORT,Thing,2/27/2014 (#5969),T2
YOU CAUGHT ME BY SURPRISE,Phrase,2/27/2014 (#5969),R1
UNIVERSITY MARCHING BAND-AID,Before & After,2/27/2014 (#5969),R2
BACKPACKER,Person,2/27/2014 (#5969),PP
PINEAPPLE FRUIT BOWL,Food & Drink,2/27/2014 (#5969),R3*
MERMAIDS AND MERMEN,Characters,2/27/2014 (#5969),T3
DOUBLES PARTNERS,People,2/27/2014 (#5969),R4
COMPANY POLICY,Thing,2/27/2014 (#5969),BR
PEPPERMINT TEA,Food & Drink,2/28/2014 (#5970),T1
REFUSE TO LOSE,Rhyme Time,2/28/2014 (#5970),T2
HERE COMES THE WELCOME WAGON,Phrase,2/28/2014 (#5970),R1
NO RIGHT TURN ON RED APPLES,Before & After,2/28/2014 (#5970),R2
WORLD-CLASS HOSPITALITY,Thing,2/28/2014 (#5970),R3*
DAWSON'S CREEK,The 90's,2/28/2014 (#5970),T3
SILLY SONG LYRICS,Show Biz,2/28/2014 (#5970),R4
HOMEWARD BOUND,Phrase,2/28/2014 (#5970),BR
ROME WASN'T BUILT IN A DAY,Quotation,3/3/2014 (#5971),T1
LAVA LAMP,Around the House,3/3/2014 (#5971),T2
ENGLISH CHANNEL SURFING,Before & After,3/3/2014 (#5971),R1
BUSBOYS BARTENDERS & BOUNCERS,Same Letter,3/3/2014 (#5971),R2
FEAST YOUR EYES ON THIS,Phrase,3/3/2014 (#5971),R3*
GUILTY PLEASURE,Thing,3/3/2014 (#5971),T3
JUMPING AT THE CHANCE,What Are You Doing?,3/3/2014 (#5971),R4
BOX OF BAKING SODA,Thing,3/3/2014 (#5971),BR
MIDNIGHT IN PARIS,Movie Title,3/4/2014 (#5972),T1
FAITHFUL FANS,People,3/4/2014 (#5972),T2
WAKE ME UP BEFORE YOU GO-GO,The 80's,3/4/2014 (#5972),R1
BOWLING PINS AND NEEDLES,Before & After,3/4/2014 (#5972),R2
BACHELOR,Person,3/4/2014 (#5972),PP
THE YEAR OF THE HORSE,Event,3/4/2014 (#5972),R3*
CAREER COUNSELOR,Occupation,3/4/2014 (#5972),T3
INVESTMENT TIPS,Things,3/4/2014 (#5972),R4
SCENIC OVERLOOK,Place,3/4/2014 (#5972),R5
WINDOW-SHOPPING,What Are You Doing?,3/4/2014 (#5972),BR
THE UNITED KINGDOM,On the Map,3/5/2014 (#5973),T1
RHYTHM GUITAR,Show Biz,3/5/2014 (#5973),T2
LIKE A MEMBER OF THE FAMILY FEUD,Before & After,3/5/2014 (#5973),R1
GERMAN POTATO SALAD,Food & Drink,3/5/2014 (#5973),R2
ZIP-LINING THROUGH THE JUNGLE,Fun & Games,3/5/2014 (#5973),R3*
SUNKEN TREASURE,Thing,3/5/2014 (#5973),T3
RIGHT UP YOUR ALLEY,Phrase,3/5/2014 (#5973),R4
OPEN VAULT,Thing,3/5/2014 (#5973),BR
THE CZECH REPUBLIC,On the Map,3/6/2014 (#5974),T1
SOLVING RIDDLES,Fun & Games,3/6/2014 (#5974),T2
DRIVERS START YOUR ENGINES,Quotation,3/6/2014 (#5974),R1
ONE-WAY STREET PERFORMER,Before & After,3/6/2014 (#5974),R2
HUMIDITY,Thing,3/6/2014 (#5974),PP
JAW-DROPPING ICE FORMATIONS,Things,3/6/2014 (#5974),R3*
CIRCUS BIG TOP,Place,3/6/2014 (#5974),T3
GAME SET AND MATCH,Phrase,3/6/2014 (#5974),R4
PAINTED TURTLE,Living Thing,3/6/2014 (#5974),R5
SOMEWHAT OF A SURPRISE,Phrase,3/6/2014 (#5974),BR
TRAVEL AGENCY,Place,3/7/2014 (#5975),T1
HALL OF FAMER,Person,3/7/2014 (#5975),T2
AUDITIONING FOR THE LEAD ROLE,Show Biz,3/7/2014 (#5975),R1
SCOTLAND YARD SALE,Before & After,3/7/2014 (#5975),R2
HISTORICAL CHARM AND ELEGANCE,Things,3/7/2014 (#5975),R3*
IT TAKES TWO TO TANGO,Phrase,3/7/2014 (#5975),T3
STUFFED PASTA SHELLS,Food & Drink,3/7/2014 (#5975),R4
POWER BROKER,Person,3/7/2014 (#5975),BR
THE WHOLE FAMILY,People,3/10/2014 (#5976),T1
CHEESE DANISH,Food & Drink,3/10/2014 (#5976),T2
ONE OF OUR FAVORITE PLAYLISTS,Thing,3/10/2014 (#5976),R1
LONG LIVE THE KING-SIZE BED,Before & After,3/10/2014 (#5976),R2
THE PINNACLE OF LUXURY,Phrase,3/10/2014 (#5976),R3*
RAPTURE BY BLONDIE,The 80's,3/10/2014 (#5976),T3
TESTING THE WATERS,What Are You Doing?,3/10/2014 (#5976),R4
WOVEN HANDBAG,Thing,3/10/2014 (#5976),BR
CHERISHED MEMORIES,Things,3/11/2014 (#5977),T1
SOURDOUGH BREAD,Food & Drink,3/11/2014 (#5977),T2
ONCE TWICE THREE TIMES A LADY,Song Lyrics,3/11/2014 (#5977),R1
CLEVER CROSSWORD CLUES,Same Letter,3/11/2014 (#5977),R2
THE ULTIMATE IN TRANQUILITY,Phrase,3/11/2014 (#5977),R3*
A SCHOOL OF FISH,Living Things,3/11/2014 (#5977),T3
ROW ROW ROW YOUR BOAT,Quotation,3/11/2014 (#5977),R4
MOVIE SOUNDTRACK,Show Biz,3/11/2014 (#5977),R5
HOT PROSPECT,Thing,3/11/2014 (#5977),BR
CAMEO APPEARANCE,Show Biz,3/12/2014 (#5978),T1
OLDER BROTHER,Person,3/12/2014 (#5978),T2
DO YOU KNOW THE MUFFIN MAN?,Quotation,3/12/2014 (#5978),R1
SWEET & SOUR CHICKEN LITTLE,Before & After,3/12/2014 (#5978),R2
TANTALIZING BUFFET,Thing,3/12/2014 (#5978),R3*
ELECTRIC CAN OPENER,In the Kitchen,3/12/2014 (#5978),T3
DOUBLE SHOT MOCHA LATTE,Food & Drink,3/12/2014 (#5978),R4
A NUGGET OF INFORMATION,Thing,3/12/2014 (#5978),BR
SPLENDID SUITES,Places,3/13/2014 (#5979),T1
AMERICAN GLADIATORS,The 90's,3/13/2014 (#5979),T2
SCREENWRITERS & SCREENPLAYS,Show Biz,3/13/2014 (#5979),R1
PEACHES PLUMS & PRICKLY PEARS,Same Letter,3/13/2014 (#5979),R2
CASUAL BY DAY ELEGANT BY NIGHT,Phrase,3/13/2014 (#5979),R3*
HITS AND MISSES,Things,3/13/2014 (#5979),T3
LAUGHING HYSTERICALLY,What Are You Doing?,3/13/2014 (#5979),R4
FRESH APPROACH,Thing,3/13/2014 (#5979),BR
MY SWEETHEART,Person,3/14/2014 (#5980),T1
CARTOON NETWORK,TV Title,3/14/2014 (#5980),T2
TRY TO BRING IT BACK IN ONE PIECE,Phrase,3/14/2014 (#5980),R1
TO HAVE AND TO HOLD A GRUDGE,Before & After,3/14/2014 (#5980),R2
TERRIFIC STEEL DRUM MUSIC,Show Biz,3/14/2014 (#5980),R3*
ROBERT REDFORD,Proper Name,3/14/2014 (#5980),T3
CONSTRUCTION PAPER,Around the House,3/14/2014 (#5980),R4
BACKPACKING,What Are You Doing?,3/14/2014 (#5980),BR
DISTRICT OF COLUMBIA,On the Map,3/17/2014 (#5981),T1
CRYSTAL CHANDELIER,Around the House,3/17/2014 (#5981),T2
RECOMMENDED DAILY SERVING,Thing,3/17/2014 (#5981),R1
CATCH A FALLING STAR TREK,Before & After,3/17/2014 (#5981),R2
TELL ME WHERE I'M GOING PAT,Phrase,3/17/2014 (#5981),R3*
DOOGIE HOWSER M.D.,The 90's,3/17/2014 (#5981),T3
LAST MAN STANDING,Person,3/17/2014 (#5981),R4
TURNPIKE TOLLBOOTH,Place,3/17/2014 (#5981),R5
CHOPPED FIREWOOD,Thing,3/17/2014 (#5981),BR
LOS ANGELES CALIFORNIA,On the Map,3/18/2014 (#5982),T1
THE BREAKFAST CLUB,The 80's,3/18/2014 (#5982),T2
SUPREME COURT JUSTICE,Person,3/18/2014 (#5982),R1
MADISON SQUARE GARDEN VEGETABLES,Before & After,3/18/2014 (#5982),R2
PAY TV,Thing,3/18/2014 (#5982),PP
THE VIEW IS SIMPLY AMAZING,Phrase,3/18/2014 (#5982),R3*
STRIKES AND SPARES,Fun & Games,3/18/2014 (#5982),T3
IT'S A BEAUTIFUL DAY,Song Lyrics,3/18/2014 (#5982),R4
EVOLVING,What Are You Doing?,3/18/2014 (#5982),BR
PHOENIX ARIZONA,On the Map,3/19/2014 (#5983),T1
PLAYING BOARD GAMES,What Are You Doing?,3/19/2014 (#5983),T2
WHO WANTS TO BE A MILLIONAIRE,TV Title,3/19/2014 (#5983),R1
THE PITTER-PATTER OF LITTLE FEET,Thing,3/19/2014 (#5983),R2
ROOFTOP INFINITY POOL,Place,3/19/2014 (#5983),R3*
GRANDFATHER CLOCK,Around the House,3/19/2014 (#5983),T3
SOUNDS A BIT IFFY,Phrase,3/19/2014 (#5983),R4
ANNUAL COMPANY PICNIC,Event,3/19/2014 (#5983),R5
NEW BABY BUGGY,Thing,3/19/2014 (#5983),BR
TEXTING A SMILEY FACE,Fun & Games,3/20/2014 (#5984),T1
HOLLYWOOD AND VINE,On the Map,3/20/2014 (#5984),T2
YOU GIVE ME FEVER WHEN YOU KISS ME,Song Lyrics,3/20/2014 (#5984),R1
TELEVISION MINISERIES LONESOME DOVE,The 80's,3/20/2014 (#5984),R2
GRUMPY,Fictional Character,3/20/2014 (#5984),PP
LEAVING FOOTPRINTS IN THE SAND,What Are You Doing?,3/20/2014 (#5984),R3*
BISCUITS AND GRAVY,Food & Drink,3/20/2014 (#5984),T3
BEHIND CLOSED DOORS,Phrase,3/20/2014 (#5984),R4
GROUNDBREAKING WORK,Thing,3/20/2014 (#5984),BR
GOOD MORNING AMERICA,TV Title,3/21/2014 (#5985),T1
MONUMENT VALLEY,Landmark,3/21/2014 (#5985),T2
SITTING ON THE FRONT PORCH,What Are You Doing?,3/21/2014 (#5985),R1
FLORIDA AND CAR KEYS,Same Name,3/21/2014 (#5985),R2
EVERY DAY FEELS LIKE SATURDAY,Phrase,3/21/2014 (#5985),R3*
FATHERHOOD,Thing,3/21/2014 (#5985),T3
ENTHUSIASTIC SUPPORTERS,People,3/21/2014 (#5985),R4
FINAL COUNTDOWN,Thing,3/21/2014 (#5985),BR
CHICK FLICK,Rhyme Time,3/24/2014 (#5986),T1
LIFEGUARD STATION,Place,3/24/2014 (#5986),T2
HOORAY FOR HAPPY HOUR,Phrase,3/24/2014 (#5986),R1
MILD MEDIUM AND HOT SALSA DANCING,Before & After,3/24/2014 (#5986),R2
MANICURES PEDICURES & FACIALS,Things,3/24/2014 (#5986),R3*
CYNDI LAUPER,Proper Name,3/24/2014 (#5986),T3
BORROWING YOUR SWEATER,What Are You Doing?,3/24/2014 (#5986),R4
COMPLIMENTARY UPGRADE,Thing,3/24/2014 (#5986),BR
MALIBU BARBIE,Character,3/25/2014 (#5987),T1
SUNDAY FUN DAY,Rhyme Time,3/25/2014 (#5987),T2
SHE'S MY PARTNER IN CRIME,Phrase,3/25/2014 (#5987),R1
PLAYING THE RADIO AS LOUD AS WE WANT,What Are You Doing?,3/25/2014 (#5987),R2
PLUG IT IN,Phrase,3/25/2014 (#5987),PP
LEGENDARY WAVES OF THE NORTH SHORE,Things,3/25/2014 (#5987),R3*
CLASS REUNION,Event,3/25/2014 (#5987),T3
BREAKFAST AT TIFFANY'S,Title,3/25/2014 (#5987),R4
BACKPEDALING,What Are You Doing?,3/25/2014 (#5987),BR
WHAT TO WEAR?,Phrase,3/26/2014 (#5988),T1
COLLEGE ROOMMATES,People,3/26/2014 (#5988),T2
STOMACH CRUNCH THE NUMBERS,Before & After,3/26/2014 (#5988),R1
MAKEOVER AND MAKEUP CONSULTATION,Event,3/26/2014 (#5988),R2
SLIPPING OFF MY FLIP-FLOPS,What Are You Doing?,3/26/2014 (#5988),R3*
GAL PAL,Rhyme Time,3/26/2014 (#5988),T3
MISS CONGENIALITY,Movie Title,3/26/2014 (#5988),R4
TAKING FLIGHT,Event,3/26/2014 (#5988),BR
FACEBOOK FRIENDS,People,3/27/2014 (#5989),T1
BEAUTY PARLOR,Place,3/27/2014 (#5989),T2
HE'S JUST NOT THAT INTO YOU,Title,3/27/2014 (#5989),R1
PURE AS THE DRIVEN SNOW WHITE,Before & After,3/27/2014 (#5989),R2
ONION SOUP,Thing,3/27/2014 (#5989),PP
HAWAII'S FAMOUS DIAMOND HEAD,Landmark,3/27/2014 (#5989),R3*
SARAH JESSICA PARKER,Proper Name,3/27/2014 (#5989),T3
SLUMBER PARTY,Event,3/27/2014 (#5989),R4
JACUZZI BUBBLES,Things,3/27/2014 (#5989),BR
GIRLS' NIGHT OUT,Event,3/28/2014 (#5990),T1
ORDERING APPETIZERS,What Are You Doing?,3/28/2014 (#5990),T2
NOBODY PUTS BABY IN THE CORNER,Movie Quote,3/28/2014 (#5990),R1
FANTASTIC FUN-FILLED FRIDAYS,Same Letter,3/28/2014 (#5990),R2
THE ISLAND OF ENCHANTMENT,Place,3/28/2014 (#5990),R3*
SIXTEEN CANDLES,The 80's,3/28/2014 (#5990),T3
CAN YOU KEEP A SECRET?,Phrase,3/28/2014 (#5990),R4
BUSINESS SAVVY,Thing,3/28/2014 (#5990),BR
THE SKY'S THE LIMIT,Phrase,3/31/2014 (#5991),T1
LUCKY PENNY,Thing,3/31/2014 (#5991),T2
THE ALAMO IN SAN ANTONIO TEXAS,Landmark,3/31/2014 (#5991),R1
BOWLING TROPHY WIFE,Before & After,3/31/2014 (#5991),R2
RACING DOWN THE WATER SLIDE,Fun & Games,3/31/2014 (#5991),R3*
CHEESE GRATER,In the Kitchen,3/31/2014 (#5991),T3
PUTTING AIR IN THE TIRES,What Are You Doing?,3/31/2014 (#5991),R4
A BRIEF EXPLANATION,Thing,3/31/2014 (#5991),BR
FROM COAST TO COAST,Phrase,4/1/2014 (#5992),T1
THE LATEST AND GREATEST,Rhyme Time,4/1/2014 (#5992),T2
THE SUNSET STRIP OF BACON,Before & After,4/1/2014 (#5992),R1
WALKING THE FREEDOM TRAIL IN BOSTON,Fun & Games,4/1/2014 (#5992),R2
THE BRADY BUNCH,Title,4/1/2014 (#5992),PP
RAINBOW-COLORED CORAL REEF,Place,4/1/2014 (#5992),R3*
SEEING A MIRAGE,Event,4/1/2014 (#5992),T3
RECREATIONAL VEHICLE,Thing,4/1/2014 (#5992),R4
WORKS WONDERS,Phrase,4/1/2014 (#5992),BR
SNACKS FOR THE CAR,Food & Drink,4/2/2014 (#5993),T1
MILEAGE MAY VARY,Phrase,4/2/2014 (#5993),T2
CROSSING THE GOLDEN GATE BRIDGE,Event,4/2/2014 (#5993),R1
SUBWAY PLATFORM SHOES,Before & After,4/2/2014 (#5993),R2
SWIMMING WITH DOLPHINS,Fun & Games,4/2/2014 (#5993),R3*
STOPPING FOR GAS,What Are You Doing?,4/2/2014 (#5993),T3
MAGICAL MYSTERY TOUR,Title,4/2/2014 (#5993),R4
OPTICIAN,Occupation,4/2/2014 (#5993),BR
ROAD TRIPPING,Fun & Games,4/3/2014 (#5994),T1
REESE WITHERSPOON,Proper Name,4/3/2014 (#5994),T2
VISITING ALL FIFTY STATES,What Are You Doing?,4/3/2014 (#5994),R1
WOULD YOU MIND OVER MATTER,Before & After,4/3/2014 (#5994),R2
GOLD NUGGET,Thing,4/3/2014 (#5994),PP
LAVA HEADING TOWARD THE OCEAN,Thing,4/3/2014 (#5994),R3*
A WALK IN THE PARK,Phrase,4/3/2014 (#5994),T3
COBBLESTONE STREET,Place,4/3/2014 (#5994),R4
PSYCHOLOGY,Thing,4/3/2014 (#5994),BR
MOUNTAIN LODGE,Place,4/4/2014 (#5995),T1
DANCE PARTNERS,People,4/4/2014 (#5995),T2
HIGHWAYS FREEWAYS & INTERSTATES,Things,4/4/2014 (#5995),R1
SOME LIKE IT HOT PASTRAMI SANDWICH,Before & After,4/4/2014 (#5995),R2
YOU HAVE TO SEE IT TO BELIEVE IT,Phrase,4/4/2014 (#5995),R3*
MINIATURE GOLF,Fun & Games,4/4/2014 (#5995),T3
ASKING FOR DIRECTIONS,What Are You Doing?,4/4/2014 (#5995),R4
BIRTHDAY BASH,Event,4/4/2014 (#5995),R5
BLOG POST,Thing,4/4/2014 (#5995),BR
THE BEST TIME OF YOUR LIFE,Phrase,4/7/2014 (#5996),T1
PROFESSOR'S OFFICE HOURS,College Life,4/7/2014 (#5996),T2
HUMPTY DUMPTY HAD A GREAT FALL SEMESTER,Before & After,4/7/2014 (#5996),R1
OF MICE AND MEN BY JOHN STEINBECK,Title/Author,4/7/2014 (#5996),R2
ORDERING BEVERAGES POOLSIDE,What Are You Doing?,4/7/2014 (#5996),R3*
ROLLER DERBY,Fun & Games,4/7/2014 (#5996),T3
ELECTRIC TOOTHBRUSH,Around the House,4/7/2014 (#5996),R4
OVERACHIEVERS,People,4/7/2014 (#5996),BR
IT'S ALL GREEK TO ME,Quotation,4/8/2014 (#5997),T1
F. SCOTT FITZGERALD,Proper Name,4/8/2014 (#5997),T2
GRADE POINT AVERAGE,College Life,4/8/2014 (#5997),R1
THE MERCHANT OF VENICE BEACH,Before & After,4/8/2014 (#5997),R2
VIDEO GAMES,Around the House,4/8/2014 (#5997),PP
EMBARKING ON A VOYAGE,Event,4/8/2014 (#5997),R3*
MARCH MADNESS,Fun & Games,4/8/2014 (#5997),T3
SITTING ON A GOLD MINE,Phrase,4/8/2014 (#5997),R4
PUBLIC APOLOGY,Event,4/8/2014 (#5997),BR
UNIVERSITY BOOKSTORE,College Life,4/9/2014 (#5998),T1
FLEXING MY MUSCLES,What Are You Doing?,4/9/2014 (#5998),T2
STOP TEXTING ME I'M CRAMMING FOR FINALS,Phrase,4/9/2014 (#5998),R1
DORM AND ELBOW ROOM,Same Name,4/9/2014 (#5998),R2
REFRESHING COCONUT WATER,Food & Drink,4/9/2014 (#5998),R3*
REVENGE OF THE NERDS,The 80's,4/9/2014 (#5998),T3
ON-THE-JOB TRAINING,Thing,4/9/2014 (#5998),R4
NOUNS AND PRONOUNS,Things,4/9/2014 (#5998),BR
GRADUATE ASSISTANT,Person,4/10/2014 (#5999),T1
ROUGH AND TOUGH,Rhyme Time,4/10/2014 (#5999),T2
CLASHING CLANGING CYMBALS,Same Letter,4/10/2014 (#5999),R1
STUDY HALL OF FAME,Before & After,4/10/2014 (#5999),R2
I DREW A BLANK,Phrase,4/10/2014 (#5999),PP
I PROMISE TO CALL YOU WHEN I LAND,Phrase,4/10/2014 (#5999),R3*
